;НАЗВАНИЕ;РУБРИКА;ПОДРУБРИКА;РЕГИОН;ГОРОД;АДРЕС;ТЕЛЕФОНЫ;ФАКСЫ;СОТОВЫЕ ТЕЛЕФОНЫ;EMAIL;САЙТ;X;Y;ОПИСАНИЕ;ИНДЕКС;ПН;ПЕРЕРЫВ;ВТ;ПЕРЕРЫВ;СР;ПЕРЕРЫВ;ЧТ;ПЕРЕРЫВ;ПТ;ПЕРЕРЫВ;СБ;ПЕРЕРЫВ;ВС;ПЕРЕРЫВ;ОПЛАТА;ВАЛЮТА;СРЕДНИЙ ЧЕК;КУХНЯ;ДОПОЛНИТЕЛЬНО
9,85691E+14;Магазин морепродуктов на ул. Дружбы, 68\3;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Берёзовка;Дружбы, 68\3;;;;;;93.134540450051;56.037888282218;;662520;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
9,85691E+14;Ермолинские полуфабрикаты, магазин, пос. Березовка;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Берёзовка;Кирова, 36;;;;;;93.127141711904;56.041836896112;;662520;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
9,85691E+14;Магазин свежего мяса на Советской, 50\2;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Берёзовка;Советская, 50\2;;;;;;93.143752281902;56.045525906268;;662520;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;09:00-19:00;;Наличный расчет;RUB;;;
9,85692E+14;Оптово-розничный склад, ИП Гуртовой В.В.;Продукты питания / Напитки;Чай / Кофе;Красноярский край;Берёзовка;Трактовая, 79Б;8(391)2040407;;;berezovka@bng-sklad.ru;;93.135861398591;56.027101288229;Все продукты в одном месте. Для вас:консервированная продукция  овощная, фруктовая, мясная, рыбная, молочная,чай, кофе.Огромный ассортимент продуктов питания:макаронные изделия,мука, крупы,сахар, соль.диабетическое питание,специи, пряности,маслопродукты,продукты быстрого приготовления.Прямые поставки от производителей. Гибкая ценовая политика. Бесплатная доставка по городу*.Заключаем договоры.*Бесплатная доставка от 500 кг или 5000 руб.,micro_comment:Крупный оптовый склад. Консервация, чай, кофе, масла, бакалея,sponsored_article:{title:Гуртовой В. В. Продуктовый склад,text:Продукты оптом. Ассортимент},filial_group:985699289560897,lo;662520;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;08:00-17:00;;09:00-13:00;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
7E+16;Восторг, магазин;Продукты питания / Напитки;Чай / Кофе;Красноярский край;Дивногорск;Заводская, 2Б;89832834331;;89832834331;;;92.390596855708;55.955732044961;;663094;11:00-19:00;;11:00-19:00;;11:00-19:00;;11:00-19:00;;11:00-19:00;;10:00-17:00;;10:00-17:00;;Наличный расчет;RUB;;;
7E+16;Настоящее мясо деревенское, магазин;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Дивногорск;Набережная, 11\1;;;;;;92.385186349288;55.966435123478;;663093;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-18:00;;10:00-18:00;;Наличный расчет, Оплата через интернет, Без начиный расчет, Visa, Mastercard, Золотая корона, American Express;RUB;;;
7E+16;Настоящее мясо деревенское, магазин;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Дивногорск;Набережная, 11\1;;;;;;92.385186349288;55.966435123478;;663093;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-18:00;;10:00-18:00;;Наличный расчет;RUB;;;
7E+16;Спутник, магазин мяса и рыбы;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Дивногорск;Спортивная, 2\59;;;;;;92.3874376601;55.956204273597;;663094;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;Наличный расчет;RUB;;;
7E+16;Спутник, магазин мяса и рыбы;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Дивногорск;Спортивная, 2\59;;;;;;92.3874376601;55.956204273597;;663094;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;Наличный расчет;RUB;;;
7E+16;Спутник, магазин мяса и рыбы;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Дивногорск;Спортивная, 2\59;;;;;;92.3874376601;55.956204273597;;663094;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;Наличный расчет;RUB;;;
9,85691E+14;Дивногорский хлебозавод, ООО;Продукты питания / Напитки;Хлебобулочные изделия;Красноярский край;Дивногорск;Гидростроителей, 2в\1;8(391)2321730;;;;;92.399875896056;55.964210040191;;663093;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Свежие продукты, ООО, сеть мясных магазинов, Правый берег;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Дивногорск;Комсомольская, 17;;;;;;92.378950411425;55.96226939958;;663090;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
9,85691E+14;Свежие продукты, ООО, сеть мясных магазинов, Правый берег;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Дивногорск;Бочкина, 37а;;;;;;92.368363044368;55.95770512514;;663091;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
9,85691E+14;Киоск по продаже фруктов и овощей, г. Дивногорск;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Дивногорск;Чкалова, 31а киоск;;;;;;92.380007155772;55.952544890034;;663094;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;Наличный расчет;RUB;;;
9,85691E+14;Камилла, магазин фруктов и овощей;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Дивногорск;Машиностроителей, 6а\1;;;;;;92.368599057077;55.957394853129;;663091;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
9,85691E+14;Командор, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Дивногорск;Набережная, 19;8(391)2528178;;;info@sm-komandor.ru;http://sm-komandor.ru;92.381400626879;55.966612583235;Торговая сеть Командор (входит в группу компаний Командор) &ndash, один из самых крупнейших операторов на рынке розничной торговли Красноярского края и Хакасии. Образована в 1999 году. Развивает 3 формата розничной торговли: гипермаркет, супермаркет, магазин у дома. В составе сети 9 гипермаркетов Аллея, 80 супермаркетов и магазинов шаговой доступности Командор в 11 городах Красноярского края и республики Хакасия, предлагающих широкий выбор свежих продуктов питания и качественных сопутствующих товаров в комфортной обстановке и по хорошим ценам.,micro_comment:Территория присутствия  Красноярский край и Хакасия,sponsored_article:{title:Торговая сеть Командор,text:Территория присутствия  Красноярский край и Хакасия},filial_group:985699289401478,lo;663093;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;08:00-00:00;;Наличный расчет, Visa, Mastercard;RUB;;;
7E+16;Абаканские полуфабрикаты, сеть магазинов, ООО Вдоволь;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Московская, 181\1;;;;vera.driuzkay@mail.ru;http://ooo-vdovol.ru;92.682071854021;56.169586655234;;663020;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;Наличный расчет;RUB;;;
7E+16;Ермолинские полуфабрикаты, сеть магазинов;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Мерзлякова, 1\1;;;;;;92.673303057446;56.173228961605;;663020;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;Наличный расчет;RUB;;;
7E+16;Магазин овощей и фруктов на ул. Мерзлякова, 2а;Продукты питания / Напитки;Овощи / Фрукты / Ягоды / Грибы;Красноярский край;Емельяново;Мерзлякова, 2а;;;;;;92.675224807686;56.172049856691;;663020;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
7E+16;Магазин мяса на ул. Мерзлякова, 2а;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Мерзлякова, 2а;;;;;;92.675224807686;56.172049856691;;663020;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
7E+16;Магазин мяса на ул. Мерзлякова, 2а;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Емельяново;Мерзлякова, 2а;;;;;;92.675224807686;56.172049856691;;663020;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;Наличный расчет;RUB;;;
9,85691E+14;Заря, ОАО, птицефабрика;Продукты питания / Напитки;Мясо птицы / Полуфабрикаты;Красноярский край;Емельяново;Спортивная, 5;8(391)2559617;;;;;92.675056926737;56.192631715007;;663020;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Заря, ОАО, птицефабрика;Продукты питания / Напитки;Яйцо;Красноярский край;Емельяново;Спортивная, 5;8(391)2559617;;;;;92.675056926737;56.192631715007;;663020;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;08:00-17:00;12:00-13:00;Выходной;;Выходной;;Наличный расчет, Без начиный расчет;RUB;;;
9,85691E+14;Каравай, сеть супермаркетов;Торговые комплексы / Спецмагазины;Супермаркеты;Красноярский край;Емельяново;Московская, 196;89082122723;8(39133)24550;89082122723;house@karavay.krasnoyarsk.ru;http://karavay24.ru;92.683132187614;56.169849833589;;663020;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;08:00-23:00;;Наличный расчет, Без начиный расчет, Visa, Mastercard, Золотая корона, American Express;RUB;;;
9,85691E+14;Емелина лавка, магазин рыбы и морепродуктов;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Емельяново;Московская, 187\1;;;;;;92.680735624661;56.169968883981;;663020;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-21:00;;09:00-18:00;;Наличный расчет;RUB;;;
9,85691E+14;Магазин свежего мяса на Московской, 198\1;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Московская, 198\1;;;;;;92.681767913825;56.170371203822;;663020;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;10:00-19:00;;Наличный расчет;RUB;;;
9,85691E+14;ЭкоТаймыр, компания по продаже оленины;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Промышленный пер, 2а;89082242244, 89029423992;;89029423992;angel@e-taimyr.ru;http://e-taimyr.ru;92.65517529424;56.170603958778;;663020;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;10:00-22:00;;Наличный расчет, Оплата через интернет, Без начиный расчет;RUB;;;
9,85691E+14;Ермолинские полуфабрикаты, магазин, пос. Емельяново;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Кооперативный пер, 3а;;;;;;92.682652552665;56.16885837963;;663020;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;Наличный расчет;RUB;;;
9,85691E+14;Абаканские полуфабрикаты, сеть магазинов, ООО Вдоволь;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Московская, 238;;;;ptkras@bk.ru;http://ooo-vdovol.ru;92.673312331163;56.172582533582;Группа компаний Премьер основана в декабре 2004 года. В состав предприятия входят:ООО Премьер-Агро  хладобойня и животноводческий комплекс (выращивание, промышленный убой скота и переработка мяса).ООО Премьер-Трейд  оптовое предприятие, специализирующееся на продаже мяса и мясной продукции (в охлажденном и замороженном виде).Cеть фирменных магазинов Премьер мясная лавка  27 специализированных мясных магазинов формата пошаговой доступности с торговой площадью от 110 до 300 кв. м каждый. Через торговую сеть реализуются хлеб и хлебобулочные изделия собственного производства.Ресторан 15`58&deg, с мясным меню, использующий в своей рецептуре исключительно охлажденное мясо.Цех по производству мясных полуфабрикатов с объемом производства более 40 т охлажденных полуфабрикатов в месяц (для нужд собственной фирменной сети).2 гастронома нового формата.,micro_comment:27 специализированных магазинов формата пошаговой доступности,sponsored_article:{title:Открылись 2 новых гастронома,text:Продажа мяса и мясной продукции в охлажденном и замороженном виде},filial_group:985699289405828,lo;663020;10:00-21:00;;10:00-21:00;;10:00-21:00;;10:00-21:00;;10:00-21:00;;10:00-21:00;;10:00-21:00;;Наличный расчет, Оплата через интернет, Без начиный расчет, Visa, Mastercard, Золотая корона, American Express;RUB;;;
9,85692E+14;Сибирский дар, ИП Попова С.А.;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Солнечная, 16;89538553656, 89131803619;;89131803619;ip-popova60@mail.ru;http://sibirskyidar.n4.biz;92.669921180242;56.164601207355;;663020;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;Наличный расчет, Visa, Mastercard, Золотая корона, American Express;RUB;;;
9,85692E+14;Сибирский дар, ИП Попова С.А.;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Емельяново;Солнечная, 16;89538553656, 89131803619;;89131803619;ip-popova60@mail.ru;http://sibirskyidar.n4.biz;92.669921180242;56.164601207355;;663020;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;09:00-20:00;;Наличный расчет, Visa, Mastercard, Золотая корона, American Express;RUB;;;
9,85692E+14;Оптово-розничная компания, ИП Житный Н.А.;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Емельяново;Заречная, 7;8(391)2406829, 89029763100;;89029763100;;;92.702498663915;56.173431299913;;663020;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;Наличный расчет, Без начиный расчет;RUB;;;
9,85692E+14;Оптово-розничная компания, ИП Житный Н.А.;Продукты питания / Напитки;Рыба / Морепродукты;Красноярский край;Емельяново;Заречная, 7;8(391)2406829, 89029763100;;89029763100;;;92.702498663915;56.173431299913;;663020;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;08:00-21:00;;Наличный расчет, Без начиный расчет;RUB;;;
7E+16;Ермолинские полуфабрикаты, сеть магазинов;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Железногорск;Ленинградский проспект, 37а;;;;;;93.530296136277;56.225398150315;;662978;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;Наличный расчет;RUB;;;
7E+16;Семья, гипермаркет;Торговые комплексы / Спецмагазины;Гипермаркеты;Красноярский край;Железногорск;Ленинградский проспект, 1Б;8(391)2525353;;;;;93.547279131396;56.230101682347;Приглашаем всех посетить наш семейный гипермаркет. В наличии широкий ассортимент товара на любой вкус.Одежда и обувь. Женская, мужская, детская одежда.Верхняя одежда. Нижнее белье.Большой выбор обуви для всей семьи, на любой сезон,а также чулочно-носочных изделий.Домашний уют.Полотенца, подушки, постельное белье, пледы, скатерти, аксессуары для ванной комнаты и кухни, домашняя утварь.Галантерея. Зонты, галстуки, головные уборы и другие аксессуары для всей семьи.Кожгалантерея.Чемоданы,сумки,рюкзаки.Внимание!У нас новое поступление. Готовимся к школе вместе.,micro_comment:Готовимся к школе ! Одежда, обувь, аксессуары, домашний текстиль.,sponsored_article:{title:Товары для всей семьи,text:Готовимся к школе ! Одежда, обувь, аксессуары, домашний текстиль.},filial_group:985699289597822,lo;662978;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;Наличный расчет, Visa, Mastercard;RUB;;;
7E+16;Ермолинские полуфабрикаты, сеть магазинов;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Железногорск;Андреева, 23;;;;;;93.53526694493;56.251844400618;;662971;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;Наличный расчет;RUB;;;
7E+16;Ермолинские полуфабрикаты, сеть магазинов;Продукты питания / Напитки;Мясо / Полуфабрикаты;Красноярский край;Железногорск;Восточная, 27;;;;;;93.55418147023;56.237244548647;;662970;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;10:00-20:00;;Наличный расчет;RUB;;;
